Variables,x,fx,c,ceq,ceq_val
Q,530.0,20.2725,34.0,ceq1,-90.5
Qw,1.0,,,ceq2,76.9263819
Qr,265.0,,,ceq3,-1.4518376
Qef,265.0,,,ceq4,-3.33173271
Qr_p,18.0,,,ceq5,-41.4379088
V_a,117.0,,,ceq6,0.104
A_s,10.0,,,ceq7,0.0471750472
h3,0.2,,,ceq8,79.071478
h4,0.2,,,ceq9,0.025678376
r_p,0.5,,,ceq10,4.71299615
X_I,10.0,,,ceq11,-0.0179776731
X_Ir,10.0,,,ceq12,13.7056876
X_Ief,8.01,,,ceq13,3478.9837
S_Sent,27.0,,,ceq14,-22.4
S_S,10.0,,,ceq15,-5.4
S_Oent,1.001,,,ceq16,0.1
S_NOent,0.0,,,ceq17,-33.9
S_NO,0.0,,,ceq18,-16.91
X_BHent,0.0,,,ceq19,8.068999
X_BH,1.0,,,ceq20,-17.1
X_BHr,1.0,,,ceq21,-0.1
X_BHef,0.01,,,ceq22,-0.1
X_Sent,1.0,,,ceq23,-17.1
X_S,1.0,,,ceq24,-16.1837838
X_Sr,1.0,,,ceq25,0.0324324324
X_Sef,0.01,,,ceq26,0.0324324324
X_BAent,8.0,,,ceq27,-8.18378378
X_BA,17.0,,,ceq28,-3.0
X_BAr,0.01,,,ceq29,-3.0
X_BAef,1e-06,,,ceq30,-3.0
S_NHent,17.1,,,ceq31,-7.1
S_NH,0.001,,,ceq32,0.34
X_Pent,5.0,,,ceq33,4.96
X_P,5.0,,,ceq34,16.1734
X_Pr,5.0,,,ceq35,17.4867993
X_Pef,8.001,,,ceq36,4.392
S_NDent,0.01,,,ceq37,5.631
S_ND,0.01,,,ceq38,-0.90786
X_NDent,1.01,,,ceq39,-0.873520086
X_ND,0.01,,,ceq40,0.0
X_NDr,0.01,,,ceq41,0.0
X_NDef,0.001,,,ceq42,0.0
G_s,100.0,,,ceq43,0.0
S_alkent,7.0,,,ceq44,-9.7
S_alk,7.0,,,ceq45,-86344.9
SSI,27.0,,,ceq46,22069.6554
SSIef,0.1,,,ceq47,927.55265
SSIr,27.0,,,ceq48,-27295.0
ST_0,0.1,,,ceq49,-528.41
ST_1,0.1,,,ceq50,0.0
ST_2,0.1,,,ceq51,20986.94
ST_3,0.1,,,ceq52,-328.6
ST_4,0.1,,,ceq53,0.0
ST_5,8.1,,,ceq54,795.0
ST_6,17.1,,,ceq55,-265.0
ST_7,8.1,,,ceq56,-1.0
ST_8,0.1,,,ceq57,-6862.95171
ST_9,0.1,,,ceq58,0.173565313
v_dn,17.01,,,ceq59,0.1974695
v_up,17.01,,,ceq60,15927.7
v_s_0,0.01,,,ceq61,4974.695
v_s_1,0.01,,,ceq62,-9.0
v_s_2,0.01,,,ceq63,-16.77
v_s_3,0.01,,,ceq64,7.33
v_s_4,0.01,,,ceq65,-94.9
v_s_5,0.01,,,ceq66,-95.9
v_s_6,0.01,,,ceq67,-0.0553427084
v_s_7,0.01,,,ceq68,-0.0553427084
v_s_8,0.01,,,ceq69,-0.0553427084
v_s_9,0.01,,,ceq70,-0.0553427084
J_0,0.01,,,ceq71,-0.0553427084
J_1,0.01,,,ceq72,-6.86248304
J_2,0.01,,,ceq73,-14.3335571
J_3,0.01,,,ceq74,-6.86248304
J_4,0.01,,,ceq75,-0.0553427084
J_5,0.01,,,ceq76,-0.0553427084
J_6,0.01,,,ceq77,0.009
J_7,0.01,,,ceq78,0.009
J_8,0.01,,,ceq79,0.009
J_9,0.01,,,ceq80,0.009
HRT,0.05,,,ceq81,0.009
KLa,17.01,,,ceq82,-0.071
r,2.0,,,ceq83,-0.161
Sent,17.1,,,ceq84,-0.071
S,17.1,,,ceq85,0.009
Xent,24.1,,,ceq86,0.009
X,0.1,,,ceq87,1391.116
Xr,0.1,,,ceq88,306.18
Xef,24.1,,,ceq89,272.16
CODent,24.1,,,ceq90,0.02
COD,17.1,,,ceq91,0.0
CODr,17.1,,,ceq92,0.0
CODef,24.1,,,ceq93,0.0
VSSent,0.1,,,ceq94,272.16
VSS,0.1,,,ceq95,306.18
VSSr,0.1,,,ceq96,-0.02
VSSef,8.1,,,ceq97,-1.0
TSSent,24.1,,,ceq98,-24.0
TSS,24.1,,,ceq99,3.6
TSSr,24.1,,,,
TSSef,1.1,,,,
BODent,24.1,,,,
BOD,24.1,,,,
BODr,24.1,,,,
BODef,24.1,,,,
TKNent,24.1,,,,
TKN,8.1,,,,
TKNr,0.1,,,,
TKNef,0.1,,,,
Nent,24.1,,,,
N,8.1,,,,
Nr,0.1,,,,
Nef,0.1,,,,
h,5.0,,,,
S_O,2.0,,,,
